,Doc. No.,G/L Account No,G/L Account Desc,Vendor No,Vendor Name,Vendor.acc.grp,Vendor.grp.description,Inv. Amount.,Doc. Date,Posting. Date,Baseline Date,Age,Outstanding Amount.,CumSum,True Outstanding
12,1004200112,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-18,500.00",31-Oct-22,31-07-2023,31-10-2022,517,-18500,-39658.1,-18500
13,1004200113,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-18,500.00",31-Oct-22,31-07-2023,31-10-2022,517,-18500,-58158.1,-18500
14,1004200119,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"18,117.00",03-Nov-22,31-07-2023,03-11-2022,514,18117,-40041.1,18117
15,1004200120,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"19,367.00",05-Dec-22,31-07-2023,05-12-2022,482,19367,-20674.1,19367
16,1001602226,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-20,006.00",31-Mar-24,31-03-2024,31-03-2024,0,-20006,-40680.1,-20006
0,1004203689,108004,Employee Vendor,9575,Karishma Raghav Yadalam,V160,EMPLOYEE VENDOR - 3000 & 4000,"-34,839.00",31-Mar-22,31-03-2022,31-03-2022,731,-34839,-34839,-34839
1,1001600684,108004,Employee Vendor,9575,Karishma Raghav Yadalam,V160,EMPLOYEE VENDOR - 3000 & 4000,"-39,000.00",30-Apr-22,30-04-2022,30-04-2022,701,-39000,-73839,-39000
0,1001600838,108004,Employee Vendor,9578,Dr.Disha Sharma,V160,EMPLOYEE VENDOR - 3000 & 4000,"-45,000.00",30-Apr-22,30-04-2022,30-04-2022,701,-45000,-45000,-45000
1,1001600818,108004,Employee Vendor,9578,Dr.Disha Sharma,V160,EMPLOYEE VENDOR - 3000 & 4000,"-43,548.00",31-May-22,31-05-2022,31-05-2022,670,-43548,-88548,-43548
0,1001600839,108004,Employee Vendor,9579,Dr.Madan K,V160,EMPLOYEE VENDOR - 3000 & 4000,"-6,000.00",30-Apr-22,30-04-2022,30-04-2022,701,-6000,-6000,-6000
1,1001600842,108004,Employee Vendor,9579,Dr.Madan K,V160,EMPLOYEE VENDOR - 3000 & 4000,"-42,097.00",30-Aug-22,30-08-2022,30-08-2022,579,-42097,-48097,-42097
0,1001600823,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-39,194.00",31-May-22,31-05-2022,31-05-2022,670,-39194,-39194,-39194
1,1001701211,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"39,050.00",07-Jun-22,07-06-2022,07-06-2022,663,39050,-144,39050
2,1001600832,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",30-Jun-22,30-06-2022,30-06-2022,640,-81000,-81144,-81000
3,1001701212,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"79,998.00",06-Jul-22,06-07-2022,06-07-2022,634,79998,-1146,79998
4,1001600833,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",31-Jul-22,31-07-2022,31-07-2022,609,-81000,-82146,-81000
5,1001701213,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"79,928.00",03-Aug-22,03-08-2022,03-08-2022,606,79928,-2218,79928
6,1001600834,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-65,323.00",31-Aug-22,31-08-2022,31-08-2022,578,-65323,-67541,-65323
7,1001701214,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"64,342.00",01-Sep-22,01-09-2022,01-09-2022,577,64342,-3199,64342
8,1001600835,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-79,650.00",30-Sep-22,30-09-2022,30-09-2022,548,-79650,-82849,-79650
9,1001701215,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"79,650.00",01-Oct-22,01-10-2022,01-10-2022,547,79650,-3199,79650
10,1001600836,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",31-Oct-22,31-10-2022,31-10-2022,517,-81000,-84199,-81000
11,1001700296,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"80,000.00",03-Nov-22,12-06-2023,03-11-2022,514,80000,-4199,80000
12,1001600837,108004,Employee Vendor,9580,Dr.Ankita Pai Pai,V160,EMPLOYEE VENDOR - 3000 & 4000,"-21,600.00",30-Nov-22,30-11-2022,30-11-2022,487,-21600,-25799,-21600
0,1001700922,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,0,06-Jul-22,06-07-2022,06-07-2022,634,27000,0,0
1,1001600750,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",31-Jul-22,31-07-2022,31-07-2022,609,-81000,-81000,-81000
2,1001700823,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Aug-22,03-08-2022,03-08-2022,606,80432,-568,80432
3,1001600702,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",31-Aug-22,31-08-2022,31-08-2022,578,-81000,-81568,-81000
4,1001700836,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,0,01-Sep-22,01-09-2022,01-09-2022,577,80130,-1438,80130
5,1001600711,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",30-Sep-22,30-09-2022,30-09-2022,548,-81000,-82438,-81000
6,1001700850,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,0,01-Oct-22,01-10-2022,01-10-2022,547,79921,-2517,79921
7,1001600723,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",31-Oct-22,31-10-2022,31-10-2022,517,-81000,-83517,-81000
8,1001700866,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Nov-22,03-11-2022,03-11-2022,514,79901,-3616,79901
9,1001600736,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,"-81,000.00",30-Nov-22,30-11-2022,30-11-2022,487,-81000,-84616,-81000
10,1001700877,108004,Employee Vendor,9582,Dr. Srijana Rao S P,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-12-2022,482,79839,-4777,79839
0,1001600751,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,"-58,064.00",31-Jul-22,31-07-2022,31-07-2022,609,-58064,-58064,-58064
1,1001700824,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Aug-22,03-08-2022,03-08-2022,606,58005,-59,58005
2,1001600703,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,"-94,657.00",31-Aug-22,31-08-2022,31-08-2022,578,-94657,-94716,-94657
3,1001700837,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,0,01-Sep-22,01-09-2022,01-09-2022,577,94435,-281,94435
4,1001600712,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,00,841.00",30-Sep-22,30-09-2022,30-09-2022,548,-100841,-101122,-100841
5,1001700846,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,0,01-Oct-22,01-10-2022,01-10-2022,547,100722,-400,100722
6,1001600724,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,00,457.00",31-Oct-22,31-10-2022,31-10-2022,517,-100457,-100857,-100457
7,1001700859,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Nov-22,03-11-2022,03-11-2022,514,100239,-618,100239
8,1001600737,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,00,282.00",30-Nov-22,30-11-2022,30-11-2022,487,-100282,-100900,-100282
9,1001700878,108004,Employee Vendor,9583,Dr.Santhoshini V V,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-12-2022,482,100041,-859,100041
0,1001600713,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,15,200.00",30-Sep-22,30-09-2022,30-09-2022,548,-115200,-115200,0
1,1001701250,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"1,15,200.00",01-Oct-22,01-10-2022,01-10-2022,547,115200,0,0
2,1001701251,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"1,15,200.00",14-Oct-22,14-10-2022,14-10-2022,534,115200,115200,115200
3,1001600725,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,08,000.00",31-Oct-22,31-10-2022,31-10-2022,517,-108000,7200,-108000
4,1001701252,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"1,08,000.00",03-Nov-22,03-11-2022,03-11-2022,514,108000,115200,108000
5,1001600738,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"-27,000.00",30-Nov-22,30-11-2022,30-11-2022,487,-27000,88200,-27000
6,1001701253,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"27,000.00",05-Dec-22,05-12-2022,05-12-2022,482,27000,115200,27000
7,1001602199,108004,Employee Vendor,9585,Dr Nagaraj bhat,V160,EMPLOYEE VENDOR - 3000 & 4000,"-11,759.00",31-Mar-24,31-03-2024,31-03-2024,0,-11759,103441,-11759
0,1001600715,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,"-54,000.00",30-Sep-22,30-09-2022,30-09-2022,548,-54000,-54000,-54000
1,1001700849,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,0,01-Oct-22,01-10-2022,01-10-2022,547,53592,-408,53592
2,1001600727,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,"-67,500.00",31-Oct-22,31-10-2022,31-10-2022,517,-67500,-67908,-67500
3,1001700865,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Nov-22,03-11-2022,03-11-2022,514,67079,-829,67079
4,1001600740,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,"-67,500.00",30-Nov-22,30-11-2022,30-11-2022,487,-67500,-68329,-67500
5,1001700880,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-12-2022,482,66420,-1909,66420
6,1001602201,108004,Employee Vendor,9587,Dr Priya Ganesh,V160,EMPLOYEE VENDOR - 3000 & 4000,"-79,903.00",31-Mar-24,31-03-2024,31-03-2024,0,-79903,-81812,-79903
0,1001700881,108004,Employee Vendor,9588,Dr.Anjali Vishwanath,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-12-2022,482,50000,0,0
1,1001600015,108004,Employee Vendor,9588,Dr.Anjali Vishwanath,V160,EMPLOYEE VENDOR - 3000 & 4000,"-7,630.00",30-Apr-23,30-04-2023,30-04-2023,336,-7630,-7630,-7630
2,1001602200,108004,Employee Vendor,9588,Dr.Anjali Vishwanath,V160,EMPLOYEE VENDOR - 3000 & 4000,"-50,000.00",31-Mar-24,31-03-2024,31-03-2024,0,-50000,-57630,-50000
0,1001600728,108004,Employee Vendor,9589,Dr.Afnan Gul,V160,EMPLOYEE VENDOR - 3000 & 4000,"-40,645.00",31-Oct-22,31-10-2022,31-10-2022,517,-40645,-40645,-40645
1,1001700860,108004,Employee Vendor,9589,Dr.Afnan Gul,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Nov-22,03-11-2022,03-11-2022,514,40584,-61,40584
2,1001600741,108004,Employee Vendor,9589,Dr.Afnan Gul,V160,EMPLOYEE VENDOR - 3000 & 4000,"-87,000.00",30-Nov-22,30-11-2022,30-11-2022,487,-87000,-87061,-87000
3,1001700873,108004,Employee Vendor,9589,Dr.Afnan Gul,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-12-2022,482,86139,-922,86139
0,1001600742,108004,Employee Vendor,9590,Aysha Yasmeen,V160,EMPLOYEE VENDOR - 3000 & 4000,"-62,400.00",30-Nov-22,30-11-2022,30-11-2022,487,-62400,-62400,-62400
1,1001700882,108004,Employee Vendor,9590,Aysha Yasmeen,V160,EMPLOYEE VENDOR - 3000 & 4000,0,06-Dec-22,06-12-2022,06-12-2022,481,62193,-207,62193
2,1001602202,108004,Employee Vendor,9590,Aysha Yasmeen,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,22,692.00",31-Mar-24,31-03-2024,31-03-2024,0,-122692,-122899,-122692
0,1001700706,108004,Employee Vendor,9592,Liyakath Ulla Khan,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-12-2022,482,11250,0,0
1,1001600807,108004,Employee Vendor,9592,Liyakath Ulla Khan,V160,EMPLOYEE VENDOR - 3000 & 4000,"-11,250.00",31-Jan-23,31-01-2023,31-01-2023,425,-11250,-11250,-11250
0,1001600274,108004,Employee Vendor,9593,Asha G,V160,EMPLOYEE VENDOR - 3000 & 4000,0,31-Jul-23,31-07-2023,31-07-2023,244,115,115,115
0,1001600801,108004,Employee Vendor,9594,DR NOOPUR SRIVASTAVA,V160,EMPLOYEE VENDOR - 3000 & 4000,"-12,775.00",31-Jan-23,31-01-2023,31-01-2023,425,-12775,-12775,-12775
0,1001602203,108004,Employee Vendor,9595,Dr Sunitha B,V160,EMPLOYEE VENDOR - 3000 & 4000,"-90,000.00",31-Mar-24,31-03-2024,31-03-2024,0,-90000,-90000,-90000
0,1001602204,108004,Employee Vendor,9597,Dr. Medha Shankarling,V160,EMPLOYEE VENDOR - 3000 & 4000,"-45,000.00",31-Mar-24,31-03-2024,31-03-2024,0,-45000,-45000,-45000
0,1001602205,108004,Employee Vendor,9600,NISARGA RANI R,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,00,647.00",31-Mar-24,31-03-2024,31-03-2024,0,-100647,-100647,-100647
0,1001602207,108004,Employee Vendor,9605,Dr Surabhi,V160,EMPLOYEE VENDOR - 3000 & 4000,"-45,000.00",31-Mar-24,31-03-2024,31-03-2024,0,-45000,-45000,-45000
0,1001602208,108004,Employee Vendor,9614,Dr Sunitha S,V160,EMPLOYEE VENDOR - 3000 & 4000,"-29,102.00",31-Mar-24,31-03-2024,31-03-2024,0,-29102,-29102,-29102
0,1001602210,108004,Employee Vendor,9617,SRISHTI GOVIND MIRAJ,V160,EMPLOYEE VENDOR - 3000 & 4000,"-74,312.00",31-Mar-24,31-03-2024,31-03-2024,0,-74312,-74312,-74312
0,1001602209,108004,Employee Vendor,9618,JAYANTHI P R ,V160,EMPLOYEE VENDOR - 3000 & 4000,"-35,957.00",31-Mar-24,31-03-2024,31-03-2024,0,-35957,-35957,-35957
0,1001602211,108004,Employee Vendor,9621,MISS CHINNU K J,V160,EMPLOYEE VENDOR - 3000 & 4000,"-85,190.00",31-Mar-24,31-03-2024,31-03-2024,0,-85190,-85190,-85190
0,1001602212,108004,Employee Vendor,9622,Dr Sujith U,V160,EMPLOYEE VENDOR - 3000 & 4000,"-80,237.00",31-Mar-24,31-03-2024,31-03-2024,0,-80237,-80237,-80237
0,1001602213,108004,Employee Vendor,9623,Dr Roshnara PP,V160,EMPLOYEE VENDOR - 3000 & 4000,"-98,859.00",31-Mar-24,31-03-2024,31-03-2024,0,-98859,-98859,-98859
0,1001602214,108004,Employee Vendor,9624,Dr.KAUSHIKI VARSHNEY,V160,EMPLOYEE VENDOR - 3000 & 4000,"-75,110.00",31-Mar-24,31-03-2024,31-03-2024,0,-75110,-75110,-75110
0,1001602229,108004,Employee Vendor,9628,Uday Kumar P N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-17,135.00",31-Mar-24,31-03-2024,31-03-2024,0,-17135,-17135,-17135
0,1001602216,108004,Employee Vendor,9629,Rose Maria Thomas,V160,EMPLOYEE VENDOR - 3000 & 4000,"-74,967.00",31-Mar-24,31-03-2024,31-03-2024,0,-74967,-74967,-74967
0,1001602215,108004,Employee Vendor,9630,Bhuvaneshwari N B,V160,EMPLOYEE VENDOR - 3000 & 4000,"-50,040.00",31-Mar-24,31-03-2024,31-03-2024,0,-50040,-50040,-50040
0,1001602217,108004,Employee Vendor,9631,Baijayanti Mishra,V160,EMPLOYEE VENDOR - 3000 & 4000,"-89,874.00",31-Mar-24,31-03-2024,31-03-2024,0,-89874,-89874,-89874
0,1001602231,108004,Employee Vendor,9632,Dr.Shalaka Nikhil Dehankar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-79,858.00",31-Mar-24,31-03-2024,31-03-2024,0,-79858,-79858,-79858
0,1001602232,108004,Employee Vendor,9633,Dr.Shruthi A,V160,EMPLOYEE VENDOR - 3000 & 4000,"-89,345.00",31-Mar-24,31-03-2024,31-03-2024,0,-89345,-89345,-89345
0,1001602233,108004,Employee Vendor,9635,Dr.Champaka Lakshmi A,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,00,416.00",31-Mar-24,31-03-2024,31-03-2024,0,-100416,-100416,-100416
0,1001602234,108004,Employee Vendor,9636,Dr Arul Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-41,088.00",31-Mar-24,31-03-2024,31-03-2024,0,-41088,-41088,-41088
0,1001700819,108004,Employee Vendor,9920,K N Chidambara Murthy,V160,EMPLOYEE VENDOR - 3000 & 4000,0,06-Jul-22,06-07-2022,06-07-2022,634,180000,0,0
1,1001600779,108004,Employee Vendor,9920,K N Chidambara Murthy,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,80,000.00",31-Jul-22,31-07-2022,31-07-2022,609,-180000,-180000,-180000
2,1001700826,108004,Employee Vendor,9920,K N Chidambara Murthy,V160,EMPLOYEE VENDOR - 3000 & 4000,0,03-Aug-22,03-08-2022,03-08-2022,606,179717,-283,179717
3,1001600783,108004,Employee Vendor,9920,K N Chidambara Murthy,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,80,000.00",31-Aug-22,31-08-2022,31-08-2022,578,-180000,-180283,-180000
